"","estado","municipio","latitud","longitud","tortilla","pan_blanco","pan_dulce","pollo_entero","pollo_piezas","huevo","bistec_res","molida_res","visceras_res","chorizo","jamon","salchichas","tocino","leche_pasteurizada","leche_en_polvo","leche_maternizada","leche_condensada","queso_fresco","queso_oaxaca","queso_amarillo","crema_de_leche","mantequilla","manzana","platanos","aguacate","papaya","naranja","limon","melon","uvas","pera","guayaba","sandia","pina","jitomate","papa","cebolla","tomate_verde","col","lechuga","calabacita","zanahoria","chile_serrano","nopales","chayote","chile_poblano","pepino","ejotes","chicharo","frijol","jugos_nectares","refrescos_envasados","agua_embotellada","antibioticos","cardiovasculares","analgesicos","nutricionales","diabetes_no_incluida","gastrointestinales","antigripales","antiinflamatorios_no_incluida","alergias_no_incluida","medicinas_tos","medicinas_piel","autobus_foraneo","transporte_aereo","materiales","index_ciudad"
"1",12,1,0.294291600765288,-1.74334636405798,8.25085857813629,0.917368914509385,2.99141110718394,20.2734754406969,25.4480099684041,9.94542925178169,60.9252824822042,52.7162035648781,24.1560917736907,48.537355991872,62.2968532838929,25.0296163718457,87.6576584840243,8.69361907257263,66.3412476044652,183.318558885944,24.4424745181259,57.3000719426826,74.1667021694029,55.727473201675,27.8722849013561,46.7090588964804,24.4586687210603,6.43735055118807,22.8267531569059,5.98985103264747,4.78779488272987,6.91432911071084,10.8627069468876,24.6056953345848,19.1671768101022,8.75733586161871,5.75075523317119,7.91841427600495,13.6292522469941,11.8963435281639,10.7858034644998,10.6297069018214,3.899096272499,5.01312377892728,9.4623485694623,6.56609921323257,16.55926832845,11.1902704932327,5.85193718025863,12.1312090786999,7.40430652134262,14.0631235691508,18.7900588493158,14.6827165281787,11.6261211364174,8.70001745972458,5.23482100096303,117.406241123814,251.060118950164,44.0973426738343,156.320897797582,0,119.121416289548,30.7571675287458,0,0,103.735990129742,91.1185482189167,240.421779800975,3088.15317424,79.3425307337573,12001
"2",1,1,0.381892584688615,-1.78540395068092,6.66750321032405,2.57646853122518,2.67608654418189,17.1414523397777,22.6075033779483,12.3073134244653,61.0357823825389,51.5987956866512,22.271545767179,55.6114403359799,72.5569026116779,32.5898637919921,95.8267926237978,8.34993236410201,70.9777534233528,164.404275048614,21.9205700064819,63.6101303635974,68.9704990432345,59.3461291616223,30.5498877751559,67.7774641317016,18.3244672612545,5.44674019826302,20.2243039298654,7.79145211115213,4.72584738796373,7.05552599285618,9.35396968452052,27.521960661656,22.732834821426,10.364442776953,5.884379450649,8.87989206809599,14.2723191023827,9.37038076562052,9.70411080985942,9.26259420934982,3.86280559394997,4.96646433507853,7.62251769717605,5.93249084010019,17.7949553202953,11.1872294690112,8.29510069994177,9.83075540347813,8.85084151977082,16.8170629879704,16.895987461792,13.5287677516042,12.6374582746796,8.6131403065088,6.04016298308287,120.991444392393,237.108203951686,44.4414807442282,127.388518024562,0,125.302751224838,26.4243008762648,0,0,137.245642964276,93.4372246679875,268.1358621682,1795.27286532902,82.7894609692778,1001
"3",9,3,0.33934533617019,-1.73039699053859,6.7576980710253,1.14412314162181,3.03296230579805,23.1718002590855,29.4001140155968,11.3767822074622,64.2599349710748,57.2134141348102,23.7289192948632,48.2242998568375,80.44488812022,30.3557791800689,84.6598893248756,9.08568974804177,69.505272998495,181.214930610438,24.1619907480584,58.354051583628,70.7452685869366,61.6015395230467,28.4290612574979,58.9379970898536,23.1055781685241,5.77591318864465,23.8804290027376,8.21447234461428,4.48612297506252,7.60821155332405,9.49682458561329,28.5086379252076,23.4299375283102,11.3551354989143,5.67937976184538,6.9126792314947,14.4533627143978,11.2613724501607,9.95891229479802,12.4961954369019,4.49502858683104,5.77932246878276,11.5447490103961,6.48576115780047,19.3124874315893,11.8481835347275,6.99733770365241,12.4711780134673,7.53784366906453,15.4572423613312,20.0132583494005,13.6687933131618,11.4553639438267,8.5439276559774,4.73835359475826,146.280087589913,225.407911561599,44.1368246773084,127.85090144371,0,125.84147525131,31.9283163213286,0,0,103.091863619411,86.4300062768948,244.885162820953,1909.07466146951,79.5194089655952,9003
"4",4,2,0.34637513441053,-1.58016292717211,8.58316309091412,2.13193764920129,3.5852023683,21.7997650073366,29.9745932568424,11.5494327690851,60.5915421873302,47.442838609002,17.8396602841545,49.6590775045842,77.3658043682809,23.1338789821247,94.4693392631423,9.74110154962133,66.2477395692416,189.903041526624,25.3204055368833,58.9422724414503,77.8354652502633,62.5119594362721,27.7427477008635,54.9189458257247,20.5713209333731,4.65188373949709,23.3824326415613,7.24831645148462,4.22341589003746,6.02534117328074,11.2220879144663,27.7523194933439,23.4069788855019,11.4335175969927,7.37602143362292,8.26751516923988,15.0453377340827,9.91561452235764,10.5348586946095,12.2183778453472,3.95260483697895,5.08192050468722,8.83756587756242,6.95124706846893,13.2507959057435,10.650473826795,6.02051301119455,9.43499060559201,9.15305467365287,13.9212522208865,19.0590033315076,11.9956168735321,9.9295500532971,8.17607724703912,5.69940547467068,130.990630443645,196.686949694027,41.5942459097179,110.115946795258,0,112.543932084858,23.5612277277337,0,0,104.130572719691,89.5892490208397,251.100227688498,2239.40993454135,83.6928343775095,4002
"5",5,2,0.511803258795081,-1.76158990344052,9.56220335345711,0.864318526465688,3.48353610510469,20.8683963201111,26.4489972577517,12.9015746577775,57.5473683666298,54.9328310970021,14.5329103886387,63.0664153088283,77.4107466265325,29.799111284461,96.7049920923463,9.13010168761581,87.2910696499543,171.012002249042,22.8016002998722,58.5746148073993,67.9307168512387,55.4815254951943,22.7326046565202,53.4114816628327,22.3388279593457,5.98552176051296,17.3147138937089,8.35445998339416,4.93621107654526,6.98901628987803,8.08928724671025,26.3548720543594,21.524273367458,15.6550903115298,5.27237734684271,6.90450495343175,16.079972480076,9.12288400379594,10.1106571832004,16.0443350540783,4.49226151436404,5.77576480418234,6.06872142622618,7.29971353107043,14.9454156200667,9.97077057550207,8.67203507377668,11.1738982741687,9.47112517314734,13.8350469876239,9.69920342959296,12.2843335535695,10.486047883823,8.9915100297878,4.84258426475689,193.319785252827,211.918354335327,40.9229893185231,101.777542605473,0,155.193598740987,29.9076627344647,0,0,115.633857123176,72.9184121540833,236.511580733764,2537.19969775771,84.5231797399538,5002
"6",8,37,0.553957808231808,-1.85854779016814,8.03148747635277,1.41445556174594,2.3200968878562,21.8997254160319,28.1150924514065,12.1321961968037,63.2140199435463,50.9853831334669,15.2942283657238,50.8529192025911,98.075170516252,39.2698302739554,82.6529801658157,9.76094878523941,80.0740829871965,186.545940949521,24.8727921266028,62.1872312143482,82.5394739036953,65.9708861352096,29.4316292710512,63.5995178203524,20.7872000954216,6.27328556699903,20.6519893675941,11.1655414134951,7.22197984772313,7.25230493793456,6.87217652916935,27.4394101905505,16.1894224726404,15.1203160628418,4.77681240648819,8.43210238532698,15.7185065719571,9.1509884343249,10.1789138453218,13.7345742036278,3.97925875268455,5.11618982488013,9.3368789449582,6.13585860713177,17.7218295719209,12.0924543197103,10.0542285285386,12.7145174842576,9.9465257828618,14.6192980324635,20.4073443089036,10.8096952456567,12.407342507899,8.03535700526404,4.91912240019474,151.203379081381,212.403570286652,39.7178825378718,107.609389462926,0,138.915695811784,29.326806872193,0,0,121.986138617863,85.0141407545708,246.497783946822,1827.19573629695,86.9774001571535,8037
"7",23,4,0.322948937378103,-1.54121784414919,8.5384697858973,0.770938475782386,2.65441173537538,25.4824768151957,34.4427258806729,8.9990759292018,61.7195319146535,48.4672216198014,16.5912462023223,44.219749098,76.410026847556,31.9731230617693,74.8992140041314,10.1157645689366,64.5712023824649,179.619193961973,23.9492258615964,66.4339796201508,72.7680859673108,65.3163542333084,28.2457899124379,56.3078330098503,19.0483406322387,5.78674406043057,23.0756070269281,7.36158895597651,3.46280260226582,7.26644277850387,8.06259420467376,38.4472911829996,17.3455642155431,15.1007808621452,4.62848735890245,7.05517470247718,14.9447018899161,10.7239558153366,11.2445498278384,6.8366829776366,3.25383500914278,4.18350215461215,8.35752166775066,5.51762394863323,16.9571149207855,7.18210210901381,6.73759610112504,8.43906612830443,7.20377912669665,15.1717807505036,12.0580804522512,13.1827391716082,15.3973101204991,9.17108030487753,6.47256270110119,112.727916288493,248.6318490795,38.8671371063708,140.86557396373,0,105.605587521021,21.8705935247587,0,0,80.8618044640338,84.7970586470174,225.83866823738,4745.61049524089,84.4905858401338,23004
"8",8,19,0.499779879484172,-1.85160041108747,8.3519095495791,2.14885655229771,2.93019687347515,23.1559833835004,28.3658609048439,13.0528852095484,62.5348057562656,50.2829250701209,15.6097528128286,55.0587057091346,78.1758760863473,37.4868728417266,76.2067980010576,9.51250857398967,73.2562791060596,184.713232063677,24.6284309418236,53.9798173290342,83.0902495645016,62.3564133695983,28.5790589222374,58.0417603435683,17.5792819032579,6.87707639770771,20.9859797842719,11.8144763301607,5.80513541817047,8.23470770891411,6.48598573972861,21.7124317367643,17.196789722133,12.0648475229114,5.23837319051602,7.90212517559942,16.597885590895,8.68031794909109,7.54515708599498,12.0440887630253,5.52572459420857,7.10450304969673,12.626595086641,6.59859803787477,11.9881300421539,9.37444357631749,9.35712874991664,10.3316772871734,10.8706654130723,15.4745995273687,15.0213189122318,13.08702156559,12.8961189372834,8.27314430080077,4.9859984597919,144.408574752691,194.500517030815,48.4073004259961,110.105096637509,0,115.293327354701,29.7401641389645,0,0,123.769882232215,87.8604983359182,235.881717117148,1600.7020504262,86.7457533521386,8019
"9",6,2,0.335864373842861,-1.81044457692237,8.48654916103666,2.17217977409331,3.14098307309584,20.739500338091,27.5046528539572,11.7283285716077,59.6777517041582,55.282630300905,19.7149653320475,50.6875772516716,75.0748077473525,31.3800168278804,65.5555224757986,8.86174250283616,69.9823446890504,168.352553335332,22.4470071113776,71.4948396117243,62.9334266035273,77.691079321965,29.2092905699735,60.381708896743,21.6438145106128,4.95967185620164,22.46580704798,8.03973155034583,4.98085011504882,6.74922001196418,9.06425090482095,25.7723995166543,21.9724526532388,9.46737898983265,5.78632033908058,10.0055868554731,15.0472557486642,13.1803767743291,8.14162411711174,11.1140456193932,4.70321439682043,6.04698993876912,10.5325218466434,6.54701379544278,19.5469118924098,8.61057337544,5.51932292170412,10.5030599288999,5.24800963701842,14.1619508742244,13.367814649654,12.8923807938657,10.6519370893378,8.4533060807959,4.42782334446261,186.889475975982,227.368658793784,47.3078182498984,144.543985880602,0,125.681740739024,24.3330601468726,0,0,119.853871701191,80.0332839766562,233.856901765944,2582.66557449407,82.8874517298844,6002
"10",30,44,0.329697543877325,-1.6919221768833,7.18464554552646,0.937197863469057,2.24354410590261,19.1254349443557,26.8811843831383,11.8820525654473,62.9882871154386,48.5763436677115,23.4351983020356,40.5994880413138,89.1594032843717,30.3993216657594,85.8898809371368,9.28429422132563,63.0271687124821,167.54296075781,22.3390614343747,51.3763194862451,64.1579219553041,61.9663709966108,33.2689143423216,56.1982011991188,23.2271428070633,3.67363739821733,20.1712610450681,8.31451339376485,3.75937599033328,6.65425099231537,11.9470504266303,23.9353362350224,22.1956237552256,12.2726367644127,5.94859763300407,8.02228895139471,13.5465499822557,10.8646987858315,8.79528315165282,12.058559028869,4.64485027431278,5.97195035268786,8.34845735521692,6.39891357154812,21.1825464136225,14.9384279518835,5.8855207224351,10.4788365362314,8.44513691930826,14.2400700614118,21.4410084569718,13.0513607552989,12.1885875038862,9.41608516619647,5.31831545983345,131.81997723115,221.119350353682,39.272076061324,109.016348190421,0,113.99953938451,29.4531990926766,0,0,113.202507412629,83.0112421981573,243.82221967794,3137.29259709821,84.575053271367,30044
