20061860300	1010	65.18
20061860300	1010	65.18
20061860300	1015	156.43
20061860300	1025	325.89
20061860300	1062	78.21
20061860300	1062	130.36
20061860300	1062	130.36
20061860300	1072	912.49
20061860300	1072	391.07
20061860300	1075	110.8
20061860300	1075	182.5
20061860300	1075	182.5
20061860300	1075	182.5
20061860300	1075	182.5
20061860300	1075	221.61
20061860300	1075	221.61
20061860300	1093	104.28
20061860300	1112	78.21
20061860300	1112	104.28
20061860300	1117	45.62
20061860300	1124	195.53
20061860300	1124	208.57
20061860300	1167	65.18
20061860300	1167	26.07
20061860300	1192	71.7
20061860300	1192	71.7
20061860300	1192	65.18
20061860300	1198	1173.2
20061860300	1216	156.43
20061860300	1220	195.53
20061860300	1220	117.32
20061860300	1220	182.5
20061860300	1220	110.8
20061860300	1220	182.5
20061860300	1220	58.66
20061860300	1221	143.39
20061860300	1224	625.71
20061860300	1243	195.53
20061860300	1243	651.78
20061860300	1243	195.53
20061860300	1244	1955.34
20061860300	1244	782.14
20061860300	1246	195.53
20061860300	2004	104.28
20061860300	2004	104.28
20061860300	2005	391.07
20061860300	3001	222.61
20061860300	3002	63.17
20061860300	3004	150.41
20061860300	3005	33.09
20061860300	3009	63.17
20061860300	3012	108.3
20061860300	3021	601.64
20061860300	4001	30.08
20061860300	4004	102.28
20061860300	4010	51.14
20061860300	4011	63.17
20061860300	4014	90.25
20061860300	4015	69.19
20061860300	4016	330.9
20061860300	4017	96.26
20061860300	4022	90.25
20061860300	5020	105.29
20061860300	5022	144.39
20061860300	5029	300.82
20061860300	5031	752.05
20061860300	6005	601.64
20061860300	6006	90.25
20061860300	6010	3008.21
20061860300	6013	1203.28
20061860300	7003	2105.75
20061860300	8051	391.06
20061860300	8066	350.96
20061860300	8078	200.55
20061860300	8096	802.18
20061860300	8100	300.82
20061860300	8106	150.41
20061860300	9019	100.27
20061860300	10016	150.41
20061860300	10044	40.11
20061860300	10058	135.37
20061860300	10065	3008.19
20061860300	11015	601.63
20061860300	12019	20.05
20061860300	12020	40.11
20061860300	13001	501.36
20061860300	13014	100.27
20061860300	13016	20.05
20061860300	13017	200.54
20061860300	13018	250.68
20061860300	14005	150.41
20061860300	14013	150.41
20061860300	20901	421.15
20061860300	20908	200.55
20061860310	1003	97.77
20061860310	1004	52.14
20061860310	1004	52.14
20061860310	1004	52.14
20061860310	1004	104.28
20061860310	1013	52.14
20061860310	1013	130.36
20061860310	1059	195.53
20061860310	1075	117.32
20061860310	1075	117.32
20061860310	1075	117.32
20061860310	1083	65.18
20061860310	1093	65.18
20061860310	1112	19.55
20061860310	1116	195.53
20061860310	1125	65.18
20061860310	1135	45.62
20061860310	1173	65.18
20061860310	1220	182.5
20061860310	2004	91.25
20061860310	2004	182.5
20061860310	3001	336.92
20061860310	3002	48.13
20061860310	3003	228.62
20061860310	3005	72.2
20061860310	3008	54.15
20061860310	3011	30.08
20061860310	3015	24.07
20061860310	4001	72.2
20061860310	4002	114.31
20061860310	4003	162.44
20061860310	4005	96.26
20061860310	4007	108.3
20061860310	4009	45.12
20061860310	4010	30.08
20061860310	4011	36.1
20061860310	4014	120.33
20061860310	4015	54.15
20061860310	4022	225.62
20061860310	7003	902.46
20061860310	7008	505.38
20061860310	7009	902.46
20061860310	8045	180.49
20061860310	8046	80.22
20061860310	8051	105.29
20061860310	8052	90.25
20061860310	8100	260.71
20061860310	9009	150.41
20061860310	10057	130.35
20061860310	13001	330.9
20061860330	1002	43.02
20061860330	1004	104.28
20061860330	1004	52.14
20061860330	1004	104.28
20061860330	1004	104.28
20061860330	1004	104.28
20061860330	1004	104.28
20061860330	1004	52.14
20061860330	1008	78.21
20061860330	1012	39.11
20061860330	1012	117.32
20061860330	1019	58.66
20061860330	1019	84.6
20061860330	1021	182.5
20061860330	1025	325.89
20061860330	1031	234.64
20061860330	1042	195.53
20061860330	1045	221.61
20061860330	1049	143.39
20061860330	1050	169.46
20061860330	1059	195.53
20061860330	1068	156.43
20061860330	1070	136.87
20061860330	1072	260.71
20061860330	1074	195.53
20061860330	1075	117.32
20061860330	1077	97.77
20061860330	1080	130.36
20061860330	1080	130.36
20061860330	1080	130.36
20061860330	1080	130.36
20061860330	1082	130.36
20061860330	1083	130.36
20061860330	1083	65.18
20061860330	1093	26.07
20061860330	1093	52.14
20061860330	1095	142.09
20061860330	1111	156.43
20061860330	1112	26.07
20061860330	1116	156.43
20061860330	1116	97.77
20061860330	1124	156.43
20061860330	1124	84.73
20061860330	1125	65.18
20061860330	1133	26.07
20061860330	1133	84.73
20061860330	1166	130.36
20061860330	1173	127.75
20061860330	1177	32.59
20061860330	1177	277.66
20061860330	1185	6.52
20061860330	1187	78.21
20061860330	1187	78.21
20061860330	1190	13.04
20061860330	1191	52.14
20061860330	1201	260.71
20061860330	1202	260.71
20061860330	1215	234.64
20061860330	1215	117.32
20061860330	1215	117.32
20061860330	1215	117.32
20061860330	1219	52.14
20061860330	1219	52.14
20061860330	1219	65.18
20061860330	1220	65.18
20061860330	3001	138.38
20061860330	3002	36.1
20061860330	3003	63.17
20061860330	3004	48.13
20061860330	3011	24.07
20061860330	4001	108.3
20061860330	4014	120.33
20061860330	6003	673.84
20061860330	6010	601.64
20061860330	7008	300.82
20061860330	7009	902.46
20061860340	1004	52.14
20061860340	1004	52.14
20061860340	1004	52.14
20061860340	1004	65.18
20061860340	1004	52.14
20061860340	1004	52.14
20061860340	1010	130.36
20061860340	1010	52.14
20061860340	1010	65.18
20061860340	1013	26.07
20061860340	1013	52.14
20061860340	1019	32.59
20061860340	1057	156.43
20061860340	1075	117.32
20061860340	1075	117.32
20061860340	1075	117.32
20061860340	1075	117.32
20061860340	1075	117.32
20061860340	1075	117.32
20061860340	1083	130.36
20061860340	1089	78.21
20061860340	1093	26.07
20061860340	1112	26.07
20061860340	1124	78.21
20061860340	1135	91.25
20061860340	1135	91.25
20061860340	1166	39.11
20061860340	1187	104.28
20061860340	1188	91.25
20061860340	1218	91.25
20061860340	3001	42.11
20061860340	3003	33.09
20061860340	3008	90.25
20061860340	3011	18.05
20061860340	4001	30.08
20061860340	4003	63.17
20061860340	4007	30.08
20061860340	4011	12.03
20061860340	4014	24.07
20061860340	7008	255.7
20061860340	10054	162.44
20061860340	11001	501.36
20061860340	13001	40.1
20061860340	14015	225.61
20061860350	1001	195.53
20061860350	1004	208.57
20061860350	1004	208.57
20061860350	1004	104.28
20061860350	1004	104.28
20061860350	1009	65.18
20061860350	1010	371.51
20061860350	1013	156.43
20061860350	1013	260.71
20061860350	1013	130.36
20061860350	1015	195.53
20061860350	1025	1564.27
20061860350	1075	469.28
20061860350	1075	351.96
20061860350	1075	351.96
20061860350	1075	351.96
20061860350	1075	234.64
20061860350	1089	71.7
20061860350	1093	195.53
20061860350	1102	234.64
20061860350	1108	365
20061860350	1109	65.18
20061860350	1112	52.14
20061860350	1112	65.18
20061860350	1117	65.18
20061860350	1118	65.18
20061860350	1119	26.07
20061860350	1124	156.43
20061860350	1124	130.36
20061860350	1124	130.36
20061860350	1135	110.8
20061860350	1166	156.43
20061860350	1173	221.61
20061860350	1173	65.18
20061860350	1178	325.89
20061860350	1178	130.36
20061860350	1215	234.64
20061860350	1215	117.32
20061860350	1220	625.71
20061860350	1244	1694.63
20061860350	1246	65.18
20061860350	1246	65.18
20061860350	1246	65.18
